Comment,Spreadsheet URL
Заявки на обучение (отдельная таблица),https://docs.google.com/spreadsheets/d/1rpcAgH4Z2QYTD9JLL-JJy2HuJXXlqN_pVx1OW0muWpo/edit?resourcekey#gid=1825993260
люди (таблица Дениса),https://docs.google.com/spreadsheets/d/1pMxdIOhhPVYFaT4k2Q4AersNtstcGkxNssbpnDLBZyg/edit#gid=1243269153
Заявки SC,https://docs.google.com/spreadsheets/d/14dbo9tuiVjt9R4LpRjvaSCDRaTb1fCe21ne0rI_VOKg/edit#gid=2040881791
CRM spirit coaching,https://docs.google.com/spreadsheets/d/1CXtJfv_amvUDFj__yusLWYUT4P-83cNxKwukjnEHedM/edit#gid=664692156
АНКЕТА И ЗАЯВКИ,https://docs.google.com/spreadsheets/d/1BqjIav6XI_gNevJUQcuLyxLiLG85yrKFxnONas346Qo/edit#gid=53724863
База Саши,https://docs.google.com/spreadsheets/d/184_OIRTuxhmFcsq_NOZMQO1zJhweIJ_tjV1UmhgVMNk/edit#gid=0
База Юли,https://docs.google.com/spreadsheets/d/192QIcC2qgxvFy535nTw0D2tji5VHIGFsIklFjV3vQIo/edit#gid=0
База Жени Мегаплан,https://docs.google.com/spreadsheets/d/133-_3C56S5AIcLV8A_Lxs4hPY-fVRDkoPb-jzqdcMxE/edit#gid=1686137084
Общая база интересантов 10 поток,https://docs.google.com/spreadsheets/d/11jJalhT8gVVn9A-F7qCaD855T0IPPGAUDxhWXbO9Mgs/edit#gid=0
Анкета и заявки старые,https://docs.google.com/spreadsheets/d/1hbq9dLJklVJXTZwvuxZWphEgnNDLqe2bm71utQxw5L4/edit#gid=0
База Лилы,https://docs.google.com/spreadsheets/d/1uxbcsFnS_DFtbQJduefb-dO8hrxc9dNxjqMFflZkrxU/edit#gid=0
База Жени,https://docs.google.com/spreadsheets/d/1MeTG_pIfUaQZVvgDG4DdVh4OBdrdGS-X2g4m0IavnU0/edit#gid=878732359
Регистрации на вебинары(самые первые),https://docs.google.com/spreadsheets/d/1GXzdq-dDTh38Kl3uhd4cEt_PhJLLQ0dTsETK63dP8hM/edit#gid=517358780